Year,Week,Monthn,Sales,Gallons,date
2016,17,4,8798.69,216,2016-04-25
2016,18,4,8295.26,248,2016-05-02
2016,19,5,7146.83,221,2016-05-09
2016,20,5,9479.48,235,2016-05-16
2016,21,5,9416.37,343,2016-05-23
2016,22,5,7105.4,219,2016-05-30
2016,23,5,1255.59,40,2016-06-06
2016,23,6,5175.83,163,2016-06-06
2016,24,6,10978.26,329,2016-06-13
2016,25,6,6661.53,231,2016-06-20
2016,26,6,8313.01,237,2016-06-27
2016,27,6,8705.41,265,2016-07-04
2016,27,7,2880.95,105,2016-07-04
2016,28,7,6668.38,249,2016-07-11
2016,29,7,7256.22,230,2016-07-18
2016,30,7,9338.3,434,2016-07-25
2016,31,7,6770.85,189,2016-08-01
2016,32,8,7056.24,169,2016-08-08
2016,33,8,9890.3,253,2016-08-15
2016,34,8,7320.43,270,2016-08-22
2016,35,8,9758.57,315,2016-08-29
2016,36,8,4739.74,158,2016-09-05
2016,36,9,4167.33,128,2016-09-05
2016,37,9,6707.35,166,2016-09-12
2016,38,9,12645.34,413,2016-09-19
2016,39,9,9573.59,366,2016-09-26
2016,40,9,8990.7,384,2016-10-03
2016,40,10,212.01,7,2016-10-03
2016,41,10,11962.15,358,2016-10-10
2016,42,10,8857.51,249,2016-10-17
2016,43,10,11082.25,337,2016-10-24
2016,44,10,8141,329,2016-10-31
2016,45,10,1343.54,47,2016-11-07
2016,45,11,3885.92,101,2016-11-07
2016,46,11,6838.16,227,2016-11-14
2016,47,11,13116.58,304,2016-11-21
2016,48,11,7980.43,219,2016-11-28
2016,49,11,8196.9,231,2016-12-05
2016,49,12,6022.86,194,2016-12-05
2016,50,12,7774.04,228,2016-12-12
2016,51,12,10098.42,310,2016-12-19
2016,52,12,7309.82,221,2016-12-26
2016,53,12,7344.79,254,2017-01-02
2017,1,1,5173.94,165,2017-01-02
2017,2,1,7384.41,194,2017-01-09
2017,3,1,7432.51,175,2017-01-16
2017,4,1,15660,440,2017-01-23
2017,5,1,2462.11,74,2017-01-30
2017,5,2,4810.79,144,2017-01-30
2017,6,2,7793.35,194,2017-02-06
2017,7,2,8040.3,266,2017-02-13
2017,8,2,8787.65,255,2017-02-20
2017,9,2,3137.1,84,2017-02-27
2017,9,3,4559.61,139,2017-02-27
2017,10,3,10117.67,276,2017-03-06
2017,11,3,7953.09,205,2017-03-13
2017,12,3,7513.64,232,2017-03-20
2017,13,3,7651.11,184,2017-03-27
2017,13,4,393.04,7,2017-03-27
2017,14,4,6559.58,192,2017-04-03
2017,15,4,6291.01,177,2017-04-10
2017,16,4,8997.47,195,2017-04-17
2017,17,4,5486.8,158,2017-04-24
2017,18,5,9099.31,285,2017-05-01
2017,19,5,9191.51,211,2017-05-08
2017,20,5,9383.62,275,2017-05-15
2017,21,5,12449.61,401,2017-05-22
2017,22,5,3479.68,124,2017-05-29
2017,22,6,5301.56,154,2017-05-29
2017,23,6,10294.13,263,2017-06-05
2017,24,6,7770.73,218,2017-06-12
2017,25,6,10159.14,277,2017-06-19
2017,26,6,11245.22,271,2017-06-26
2017,26,7,878.25,23,2017-06-26
2017,27,7,9700.01,288,2017-07-03
2017,28,7,7275.57,260,2017-07-10
2017,29,7,7452.07,202,2017-07-17
2017,30,7,7187.88,234,2017-07-24
2017,31,7,2762.71,76,2017-07-31
2017,31,8,5940.48,171,2017-07-31
2017,32,8,12309.72,496,2017-08-07
2017,33,8,6870.76,208,2017-08-14
2017,34,8,6060.62,156,2017-08-21
2017,35,8,7405.92,174,2017-08-28
2017,35,9,1578.46,37,2017-08-28
2017,36,9,6847.63,230,2017-09-04
2017,37,9,7092.46,240,2017-09-11
2017,38,9,5863.57,168,2017-09-18
2017,39,9,3787.31,103,2017-09-25
2017,40,10,6270.72,237,2017-10-02
2017,41,10,7072.76,189,2017-10-09
2017,42,10,6738.14,170,2017-10-16
2017,43,10,8378.16,294,2017-10-23
2017,44,10,6379.37,189,2017-10-30
2017,44,11,5464.86,125,2017-10-30
2017,45,11,9032.67,285,2017-11-06
2017,46,11,7463.85,229,2017-11-13
2017,47,11,7777.54,148,2017-11-20
2017,48,11,8810.75,247,2017-11-27
2017,48,12,2963.3,85,2017-11-27
2017,49,12,7994.66,212,2017-12-04
2017,50,12,7614.32,232,2017-12-11
2017,51,12,4231.39,139,2017-12-18
2017,52,12,4474.76,146,2017-12-25
2018,1,1,6885.43,196,2018-01-01
2018,2,1,9074.32,236,2018-01-08
2018,3,1,10495.42,357,2018-01-15
2018,4,1,5429.52,179,2018-01-22
2018,5,1,2657.46,73,2018-01-29
2018,5,2,1709.16,48,2018-01-29
2018,6,2,7982.23,274,2018-02-05
2018,7,2,12594.46,357,2018-02-12
2018,8,2,11681.68,414,2018-02-19
2018,9,2,4258.58,131,2018-02-26
2018,9,3,6287.14,192,2018-02-26
2018,10,3,10851.68,293,2018-03-05
2018,11,3,10435.14,293,2018-03-12
2018,12,3,14692.97,332,2018-03-19
2018,13,3,7921.72,256,2018-03-26
2018,14,4,9158.55,248,2018-04-02
2018,15,4,10872.78,282,2018-04-09
2018,16,4,9607.16,291,2018-04-16
2018,17,4,12284.3,289,2018-04-23
2018,18,4,2047.61,77,2018-04-30
2018,18,5,8228.41,233,2018-04-30
2018,19,5,9371.06,272,2018-05-07
2018,20,5,9700.4,220,2018-05-14
2018,21,5,8624.71,262,2018-05-21
2018,22,5,5665.22,148,2018-05-28
2018,22,6,915.45,27,2018-05-28
2018,23,6,6478.93,143,2018-06-04
2018,24,6,11074.34,273,2018-06-11
2018,25,6,10626.17,287,2018-06-18
2018,26,6,6432.28,167,2018-06-25
2018,27,7,7449.08,163,2018-07-02
2018,28,7,6662.01,173,2018-07-09
2018,29,7,7762.41,109,2018-07-16
2018,30,7,8143.25,197,2018-07-23
2018,31,7,2766.11,91,2018-07-30
2018,31,8,6677.76,174,2018-07-30
2018,32,8,7946.43,216,2018-08-06
2018,33,8,7165.86,212,2018-08-13
2018,34,8,10575.02,200,2018-08-20
2018,35,8,7989.61,288,2018-08-27
2018,35,9,1216.06,28,2018-08-27
2018,36,9,7119.8,200,2018-09-03
2018,37,9,9172.25,322,2018-09-10
2018,38,9,9658.14,262,2018-09-17
2018,39,9,8047.81,241,2018-09-24
2018,40,10,15788.15,181,2018-10-01
2018,41,10,7750.92,229,2018-10-08
2018,42,10,7985.1,226,2018-10-15
2018,43,10,14635.7,506,2018-10-22
2018,44,10,4161.86,145,2018-10-29
2018,44,11,4795.73,117,2018-10-29
2018,45,11,7859.22,226,2018-11-05
2018,46,11,7402.55,201,2018-11-12
2018,47,11,7663.29,191,2018-11-19
2018,48,11,8450.07,187,2018-11-26
2018,48,12,648.98,19,2018-11-26
2018,49,12,5767.28,183,2018-12-03
2018,50,12,4515.88,100,2018-12-10
2018,51,12,5087.23,141,2018-12-17
2018,52,12,3079.94,79,2018-12-24
2018,53,12,592.24,24,2018-12-31
2019,1,1,4043.9,84,2018-12-31
2019,2,1,7405.31,156,2019-01-07
2019,3,1,7717.62,213,2019-01-14
2019,4,1,7185.48,183,2019-01-21
2019,5,1,4252.87,124,2019-01-28
2019,5,2,2051.56,53,2019-01-28
2019,6,2,11361.86,263,2019-02-04
2019,7,2,5796.66,146,2019-02-11
2019,8,2,4900.93,135,2019-02-18
2019,9,2,4946.35,137,2019-02-25
2019,9,3,4403.44,64,2019-02-25
2019,10,3,9979.34,370,2019-03-04
2019,11,3,8062.21,283,2019-03-11
2019,12,3,7277.31,190,2019-03-18
2019,13,3,7455.58,157,2019-03-25
2019,14,3,,,2019-04-01
2019,14,4,9520.39,202,2019-04-01
2019,15,4,7940.44,243,2019-04-08
2019,16,4,8350.68,286,2019-04-15
2019,17,4,4902.95,170,2019-04-22
2019,18,4,4042.11,125,2019-04-29
2019,18,5,5577.3,135,2019-04-29
2019,19,5,11408.47,233,2019-05-06
2019,20,5,5793.16,192,2019-05-13
2019,21,5,10674.85,217,2019-05-20
2019,22,5,8386.71,179,2019-05-27
2019,22,6,415.59,6,2019-05-27
2019,23,6,7888.16,203,2019-06-03
2019,24,6,13405.95,396,2019-06-10
2019,25,6,5898.55,112,2019-06-17
2019,26,6,9927.98,345,2019-06-24
2019,27,7,7114.54,203,2019-07-01
2019,28,7,10375.47,255,2019-07-08
2019,29,7,7303.57,215,2019-07-15
2019,30,7,5062.89,123,2019-07-22
2019,31,7,3461.66,76,2019-07-29
2019,31,8,4850.01,80,2019-07-29
2019,32,8,9878.17,268,2019-08-05
2019,33,8,9748.32,236,2019-08-12
2019,34,8,13587.43,355,2019-08-19
2019,35,8,11310.17,370,2019-08-26
2019,36,9,10227.01,304,2019-09-02
2019,37,9,11210.42,358,2019-09-09
2019,38,9,8234.18,226,2019-09-16
2019,39,9,12523.46,296,2019-09-23
2019,40,9,2789.04,109,2019-09-30
2019,40,10,5811.55,125,2019-09-30
2019,41,10,8476,149,2019-10-07
2019,42,10,22462.51,368,2019-10-14
2019,43,10,5695.29,134,2019-10-21
2019,44,10,5451.54,119,2019-10-28
2019,44,11,1939,61,2019-10-28
2019,45,11,7674.47,193,2019-11-04
2019,46,11,6188.34,169,2019-11-11
2019,47,11,10238.22,244,2019-11-18
2019,48,11,7582.7,296,2019-11-25
2019,49,12,7470.1,197,2019-12-02
2019,50,12,9494.27,221,2019-12-09
2019,51,12,6445.22,132,2019-12-16
2019,52,12,8192.22,128,2019-12-23
2019,53,12,3939.17,100,2019-12-30
2020,1,1,6165.07,111,2019-12-30
2020,2,1,8900.77,210,2020-01-06
2020,3,1,7943,227,2020-01-13
2020,4,1,10822.34,252,2020-01-20
2020,5,1,7759.9,164,2020-01-27
2020,5,2,171.72,3,2020-01-27
2020,6,2,24544.82,200,2020-02-03
2020,7,2,6267.8,124,2020-02-10
2020,8,2,8176.51,193,2020-02-17
2020,9,2,5666.7,141,2020-02-24
2020,10,3,7809.64,176,2020-03-02
2020,11,3,9343.3,216,2020-03-09
2020,12,3,10665.93,235,2020-03-16
2020,13,3,9060.88,302,2020-03-23
2020,14,3,2360.97,81,2020-03-30
2020,14,4,4778.74,116,2020-03-30
2020,15,4,6199.55,143,2020-04-06
2020,16,4,6790.93,175,2020-04-13
2020,17,4,9969.13,201,2020-04-20
2020,18,4,8379.93,211,2020-04-27
2020,18,5,2471.33,56,2020-04-27
2020,19,5,16378.97,313,2020-05-04
2020,20,5,8337.03,198,2020-05-11
2020,21,5,12569.29,306,2020-05-18
2020,22,5,7159.36,185,2020-05-25
2020,23,6,10535.64,201,2020-06-01
2020,24,6,7608.68,167,2020-06-08
2020,25,6,11306.03,350,2020-06-15
2020,26,6,11515.38,278,2020-06-22
2020,27,6,3985.13,112,2020-06-29
2020,27,7,4493.48,117,2020-06-29
2020,28,7,10814.12,254,2020-07-06
2020,29,7,10735.22,297,2020-07-13
2020,30,7,10667.14,296,2020-07-20
2020,31,7,5319.51,131,2020-07-27
2020,31,8,317.24,5,2020-07-27
2020,32,8,8890.82,215,2020-08-03
2020,33,8,13499.08,380,2020-08-10
2020,34,8,8938.65,203,2020-08-17
2020,35,8,9722.66,226,2020-08-24
2020,36,8,3183.03,70,2020-08-31
2020,36,9,6763.65,173,2020-08-31
2020,37,9,10051.07,279,2020-09-07
2020,38,9,10155.45,250,2020-09-14
2020,39,9,9012.18,132,2020-09-21
2020,40,9,3925.83,76,2020-09-28
2020,40,10,6149.31,142,2020-09-28
2020,41,10,9778.11,285,2020-10-05
2020,42,10,10024.86,214,2020-10-12
2020,43,10,14592.3,413,2020-10-19
2020,44,10,7599.61,150,2020-10-26
2020,45,11,8688.67,242,2020-11-02
2020,46,11,18586.06,345,2020-11-09
2020,47,11,10508.81,216,2020-11-16
2020,48,11,7271.8,167,2020-11-23
2020,49,11,2616.94,67,2020-11-30
2020,49,12,6142.95,127,2020-11-30
2020,50,12,7402.93,159,2020-12-07
2020,51,12,10385.76,222,2020-12-14
2020,52,12,9408.63,135,2020-12-21
2020,53,12,18769.66,144,2020-12-28
2021,1,1,1698.31,44,2021-01-04
2021,2,1,6487.37,145,2021-01-11
2021,3,1,5586.79,144,2021-01-18
2021,4,1,7078.4,166,2021-01-25
2021,5,1,9965.19,278,2021-02-01
2021,6,2,10049.39,243,2021-02-08
2021,7,2,7902.81,170,2021-02-15
2021,8,2,681.9,6,2021-02-22
2021,9,2,7731.64,194,2021-03-01
2021,10,3,10773.22,272,2021-03-08
2021,11,3,15948.97,411,2021-03-15
2021,12,3,9587.96,269,2021-03-22
2021,13,3,11790.29,242,2021-03-29
2021,14,3,8135.55,142,2021-04-05
2021,14,4,4318.26,106,2021-04-05
2021,15,4,9157.21,193,2021-04-12
2021,16,4,5765.24,157,2021-04-19
2021,17,4,11750.36,315,2021-04-26
2021,18,4,8258.23,211,2021-05-03
2021,18,5,641.29,2,2021-05-03
2021,19,5,6668,145,2021-05-10
2021,20,5,8733.7,262,2021-05-17
2021,21,5,8749.61,204,2021-05-24
2021,22,5,14755.68,423,2021-05-31
2021,23,5,402.48,12,2021-06-07
2021,23,6,13062.96,347,2021-06-07
2021,24,6,8622.81,183,2021-06-14
2021,25,6,14240.63,363,2021-06-21
2021,26,6,14332.71,391,2021-06-28
2021,27,6,8503.23,202,2021-07-05
2021,27,7,8684.58,206,2021-07-05
2021,28,7,15838.57,280,2021-07-12
2021,29,7,11782.36,250,2021-07-19
2021,30,7,11885.63,212,2021-07-26
2021,31,7,9641.98,247,2021-08-02
2021,32,8,11777.29,216,2021-08-09
2021,33,8,11356.3,584,2021-08-16
2021,34,8,8818.27,244,2021-08-23
2021,35,8,12620.9,304,2021-08-30
2021,36,8,10172.61,301,2021-09-06
2021,36,9,14065.44,328,2021-09-06
2021,37,9,10048.03,304,2021-09-13
2021,38,9,14109.42,366,2021-09-20
2021,39,9,14499.78,458,2021-09-27
2021,40,9,8569.41,213,2021-10-04
2021,40,10,3442.64,111,2021-10-04
2021,41,10,13154.75,334,2021-10-11
2021,42,10,11558.41,287,2021-10-18
2021,43,10,12543.05,318,2021-10-25
2021,44,10,11471.96,302,2021-11-01
2021,45,11,23447.8,270,2021-11-08
2021,46,11,11930.07,324,2021-11-15
2021,47,11,14103.04,271,2021-11-22
2021,48,11,4633.23,130,2021-11-29
2021,49,11,5381.37,135,2021-12-06
2021,49,12,7268.62,166,2021-12-06
2021,50,12,11180.79,297,2021-12-13
2021,51,12,10524.02,231,2021-12-20
2021,52,12,10371.33,233,2021-12-27
2021,53,12,9417.97,258,2022-01-03
2022,2,1,14013.28,322,2022-01-10
2022,3,1,10957.86,265,2022-01-17
2022,4,1,12124.05,276,2022-01-24
2022,5,1,10681.66,266,2022-01-31
2022,6,1,1293.04,45,2022-02-07
2022,6,2,4413.85,114,2022-02-07
2022,7,2,17035.77,366,2022-02-14
2022,8,2,8455.42,150,2022-02-21
2022,9,2,9189.41,216,2022-02-28
2022,10,2,2888.9,84,2022-03-07
2022,10,3,11994.74,301,2022-03-07
2022,11,3,9881.53,231,2022-03-14
2022,12,3,7862.39,180,2022-03-21
2022,13,3,9495.31,207,2022-03-28
2022,14,3,9111.34,276,2022-04-04
2022,14,4,5704.45,104,2022-04-04
2022,15,4,10924.8,276,2022-04-11
2022,16,4,8301.11,165,2022-04-18
2022,17,4,12108.76,303,2022-04-25
2022,18,4,12293.2,224,2022-05-02
2022,19,5,13105.08,269,2022-05-09
2022,20,5,13586.46,304,2022-05-16
2022,21,5,17260.61,380,2022-05-23
2022,22,5,19665.22,379,2022-05-30
2022,23,5,4490.75,86,2022-06-06
2022,23,6,17150.55,377,2022-06-06
2022,24,6,20665.85,430,2022-06-13
2022,25,6,15844.27,310,2022-06-20
2022,26,6,17874.4,369,2022-06-27
2022,27,6,11170.39,221,2022-07-04
2022,27,7,4618.85,84,2022-07-04
2022,28,7,16826.99,411,2022-07-11
2022,29,7,16282.64,329,2022-07-18
2022,30,7,16894.99,355,2022-07-25
2022,31,7,14071,407,2022-08-01
2022,32,8,11978.57,308,2022-08-08
2022,33,8,12404.06,288,2022-08-15
2022,34,8,14398.89,257,2022-08-22
2022,35,8,10892.67,193,2022-08-29
2022,36,8,8038.32,151,2022-09-05
2022,36,9,5552.95,98,2022-09-05
2022,37,9,7767.55,128,2022-09-12
2022,38,9,11580.26,186,2022-09-19
2022,39,9,17559.6,296,2022-09-26
2022,40,9,10469.24,185,2022-10-03
2022,40,10,-446.98,-11,2022-10-03
2022,41,10,11867.8,169,2022-10-10
2022,42,10,11749.3,229,2022-10-17
2022,43,10,11004.77,182,2022-10-24
2022,44,10,13934.47,252,2022-10-31
2022,45,10,3484.44,77,2022-11-07
2022,45,11,8857.1,135,2022-11-07
2022,46,11,11613.64,197,2022-11-14
2022,47,11,15167.06,315,2022-11-21
2022,48,11,11419.26,217,2022-11-28
2022,49,11,8722.17,160,2022-12-05
2022,49,12,3370.51,63,2022-12-05
2022,50,12,12510,267,2022-12-12
2022,51,12,12588.81,275,2022-12-19
2022,52,12,5019.38,105,2022-12-26
2022,53,12,4923.87,102,2023-01-02
2023,1,1,6429.7,124,2023-01-02
2023,2,1,12729.92,232,2023-01-09
2023,3,1,16071.31,285,2023-01-16
2023,4,1,13592.05,299,2023-01-23
2023,5,1,3670.18,57,2023-01-30
2023,5,2,6336.67,116,2023-01-30
2023,6,2,9782.99,168,2023-02-06
2023,7,2,8941.87,137,2023-02-13
2023,8,2,11639.13,208,2023-02-20
2023,9,2,2523.69,57,2023-02-27
2023,9,3,4898.09,81,2023-02-27
2023,10,3,12844.25,292,2023-03-06
2023,11,3,10552.18,250,2023-03-13
2023,12,3,9636.39,192,2023-03-20
2023,13,3,9414.22,173,2023-03-27
2023,13,4,213.91,2,2023-03-27
2023,14,4,15050.09,321,2023-04-03
2023,15,4,12464.96,235,2023-04-10
2023,16,4,17443.27,325,2023-04-17
2023,17,4,13649.56,207,2023-04-24
2023,18,5,21747.63,444,2023-05-01
2023,19,5,17953.96,296,2023-05-08
2023,20,5,19690.39,376,2023-05-15
2023,21,5,25076.11,600,2023-05-22
2023,22,5,6160.46,154,2023-05-29
2023,22,6,5919.74,92,2023-05-29
2023,23,6,17288.91,371,2023-06-05
2023,24,6,18750.61,361,2023-06-12
2023,25,6,19639.92,388,2023-06-19
2023,26,6,17643.94,361,2023-06-26
2023,26,7,746.12,18,2023-06-26
2023,27,7,7477.92,169,2023-07-03
2023,28,7,15921.25,436,2023-07-10
2023,29,7,25149.27,502,2023-07-17
2023,30,7,21892.21,436,2023-07-24
2023,31,7,3386.51,61,2023-07-31
2023,31,8,13328.34,324,2023-07-31
2023,32,8,17892.96,377,2023-08-07
2023,33,8,16495.25,339,2023-08-14
2023,34,8,23030.82,497,2023-08-21
2023,35,8,12102.94,334,2023-08-28
2023,35,9,6844.72,144,2023-08-28
2023,36,9,12225.94,276,2023-09-04
2023,37,9,16343.76,394,2023-09-11
2023,38,9,12452.47,298,2023-09-18
2023,39,9,13424.43,268,2023-09-25
2023,40,10,17223.3,388,2023-10-02
2023,41,10,14388.28,343,2023-10-09
2023,42,10,18431.57,365,2023-10-16
2023,43,10,12111.83,218,2023-10-23
2023,44,10,7074.31,186,2023-10-30
2023,44,11,16630.81,327,2023-10-30
2023,45,11,20251.11,308,2023-11-06
2023,46,11,16268.62,276,2023-11-13
2023,47,11,7958.87,143,2023-11-20
2023,48,11,16592.04,370,2023-11-27
2023,48,12,4839.27,112,2023-11-27
2023,49,12,18804.41,428,2023-12-04
2023,50,12,33391.21,729,2023-12-11
2023,51,12,10977.58,232,2023-12-18
2023,52,12,13478.58,265,2023-12-25
2024,1,1,11215.19,283,2024-01-01
2024,2,1,16410.52,373,2024-01-08
2024,3,1,9419.77,223,2024-01-15
2024,4,1,17078.86,390,2024-01-22
2024,5,1,9842.67,222,2024-01-29
2024,5,2,7473.6,180,2024-01-29
2024,6,2,21224.31,477,2024-02-05
2024,7,2,26673.25,468,2024-02-12
2024,8,2,24330.82,321,2024-02-19
2024,9,2,19413.61,363,2024-02-26
2024,9,3,6333.59,62,2024-02-26
2024,10,3,28521.26,416,2024-03-04
2024,11,3,29853.79,326,2024-03-11
2024,12,3,21217.07,335,2024-03-18
2024,13,3,25497.28,427,2024-03-25
2024,14,4,31002.91,399,2024-04-01
2024,15,4,22297.4,346,2024-04-08
2024,16,4,30657.53,432,2024-04-15
2024,17,4,35697.4,426,2024-04-22
2024,18,4,10293.37,188,2024-04-29
2024,18,5,15687.08,256,2024-04-29
2024,19,5,26200.68,492,2024-05-06
2024,20,5,24729.34,473,2024-05-13
2024,21,5,27596.85,571,2024-05-20
2024,22,5,18877.38,281,2024-05-27
